Row,Keteleeria,Agathis,Nageia,Sciadopitys,Cephalotaxus,Cunninghamia
778,1,0,1,0,1,1
779,0,0,0,0,0,1
780,0,0,0,0,0,1
781,0,0,0,0,0,1
782,0,0,0,0,0,1
783,1,1,0,1,0,1
784,0,1,0,0,0,0
785,1,0,1,0,0,1
786,1,0,0,0,0,0
787,1,0,0,0,0,0
788,1,0,0,0,1,0
789,0,0,0,0,0,1
790,0,0,0,0,0,1
791,1,1,0,0,1,1
792,1,0,0,0,1,1
793,1,0,0,0,0,0
794,0,1,0,0,1,0
795,0,0,1,1,0,0
796,0,0,1,0,1,1
797,1,0,0,0,0,1
798,0,1,0,0,0,0
799,0,0,1,0,0,0
800,0,0,0,0,1,0
801,1,0,1,0,0,1
802,1,0,0,0,0,0
803,1,0,0,1,0,1
804,0,0,0,0,1,0
805,0,0,1,0,0,1
806,0,0,1,0,0,0
807,1,0,0,0,0,0
808,1,0,1,0,1,1
809,0,1,1,0,0,1
810,0,0,0,0,0,1
811,1,0,0,0,0,1
812,1,0,1,0,0,0
813,0,0,0,0,0,1
814,1,0,0,0,0,0
815,0,0,0,1,1,1
816,0,0,0,0,0,1
817,1,1,1,0,0,0
818,0,0,0,0,1,1
819,0,0,0,1,1,1
820,0,0,0,0,1,1
821,1,0,1,0,0,0
822,0,0,1,0,0,0
823,1,0,1,0,0,0
824,0,0,1,0,0,0
825,0,0,1,0,0,0
826,1,0,0,0,0,0
827,1,0,0,0,0,0
828,0,0,1,0,0,0
829,0,0,0,0,1,0
830,0,0,1,0,1,1
831,1,0,0,0,0,0
832,0,0,0,1,0,0
833,1,0,1,0,0,1
834,1,0,0,0,0,0
835,1,1,1,0,0,0
836,1,1,1,1,1,0
837,0,0,1,1,1,1
838,1,0,0,0,0,0
839,1,0,0,0,1,1
840,1,0,0,0,0,0
841,0,0,0,0,1,1
842,1,1,1,0,1,1
843,0,1,0,0,1,1
844,0,0,1,0,0,0
845,1,0,0,0,0,0
846,0,0,0,1,1,1
847,1,0,1,0,1,1
848,1,0,0,0,0,0
849,1,0,0,0,1,1
850,0,0,0,0,0,1
851,0,1,1,0,0,0
852,0,1,0,0,0,0
853,1,1,1,0,0,0
854,1,0,0,0,1,1
855,0,0,0,0,1,0
856,0,1,1,0,1,1
857,1,0,1,0,0,0
858,0,0,1,0,1,1
859,1,0,1,0,0,1
860,1,1,1,1,1,1
861,0,0,1,1,1,0
862,0,0,0,0,1,1
863,1,1,1,0,0,0
864,1,1,1,0,0,0
865,0,1,0,0,0,0
866,0,1,0,0,0,0
867,1,0,0,0,0,0
868,0,0,0,0,1,0
869,1,1,0,0,1,1
870,1,0,0,0,0,0
871,1,0,1,1,1,1
872,1,0,0,0,0,0
873,0,0,1,0,1,1
874,0,0,1,0,0,0
875,0,0,1,0,1,0
876,1,0,0,0,0,0
877,0,0,0,0,0,1
878,1,0,1,1,1,1
879,1,1,0,1,0,0
880,0,0,0,1,0,0
881,0,0,1,0,1,0
882,0,0,0,0,0,1
883,1,0,0,0,0,0
884,1,0,0,0,0,0
885,1,0,0,0,0,0
886,1,0,0,0,0,0
887,0,0,1,0,0,0
888,1,0,0,0,0,0
889,1,0,0,0,0,0
890,0,1,1,0,0,0
891,0,0,0,1,0,0
892,0,0,0,0,0,1
893,0,1,0,0,0,0
894,0,0,0,0,0,1
895,0,0,0,0,1,0
896,0,0,0,0,1,0
897,0,0,0,1,0,0
898,0,0,1,0,0,0
899,0,1,1,1,1,1
900,0,1,0,1,1,1
901,0,0,1,0,0,1
902,0,1,1,1,1,1
903,0,0,0,0,1,0
904,0,1,0,1,1,1
905,1,1,1,1,1,1
906,0,0,0,0,1,1
907,0,0,1,0,0,0
908,0,1,1,0,0,0
909,0,0,0,0,0,1
910,1,1,1,1,1,1
911,1,0,0,0,0,0
912,1,1,1,0,0,1
913,1,1,0,1,1,1
914,0,1,0,0,0,0
915,1,0,0,0,1,1
916,0,0,1,1,1,0
917,1,0,1,1,1,1
918,0,0,1,0,0,0
919,0,0,1,0,0,0
920,0,0,0,0,1,0
921,1,0,0,0,0,0
922,1,1,1,1,1,0
923,1,1,1,1,1,1
924,0,0,1,0,1,0
925,0,0,0,1,1,1
926,0,0,1,0,0,0
927,1,0,1,0,1,1
928,0,0,1,0,0,0
929,0,0,1,1,1,1
930,1,1,1,0,0,0
931,1,0,0,0,0,0
932,0,0,1,0,0,0
933,1,0,0,0,0,0
934,1,0,0,0,0,0
935,1,1,1,1,1,1
936,1,0,0,0,0,0
937,1,0,1,0,0,0
938,0,0,1,0,0,0
939,1,0,0,0,0,0
940,1,0,0,0,0,0
941,0,0,0,0,1,1
942,0,0,0,0,1,0
943,0,0,0,1,0,0
944,1,0,0,0,0,0
945,1,0,0,0,0,0
946,1,0,0,0,0,0
947,0,0,0,0,1,1
948,0,0,0,0,1,0
949,1,0,0,0,0,0
950,0,0,0,0,0,1
951,1,0,0,0,1,1
952,1,0,0,0,0,0
953,1,0,0,1,0,0
954,0,0,0,0,1,1
955,1,0,0,1,0,0
956,0,0,0,0,1,1
957,0,0,0,0,1,1
958,1,0,0,0,0,0
959,1,0,1,0,0,0
960,1,0,1,0,1,1
961,1,0,1,0,0,0
962,0,0,1,1,0,0
963,1,1,0,0,0,1
964,0,0,1,0,0,0
965,1,1,0,0,0,0
966,1,0,0,1,0,0
967,1,0,0,0,0,0
968,0,0,0,0,0,1
969,0,0,0,0,1,0
